cla_id,cla_level1_id,cla_level1_description,cla_level2_id,cla_level2_description,cla_level3_id,cla_level3_description,cla_level1_id,cla_level4_description,cla_level5_id,cla_level5_description,question_id,criteria_id
1.1.1,1.1.1.1,Some marketing campaigns are targeted. Marketing campaigns target (filtering criteria applicable to the customer base) is manually defined.,1.1.1.2,Most marketing campaigns are targeted. Marketing campaigns target is based on static customer criteria (such as marketing segment or subscriber profile). ,1.1.1.3,"Most marketing campaigns are targeted and relevant. Marketing campaigns target is based on dynamic customer criteria (such as monthly usage, mobility habits, spending etc.).",1.1.1.4,"All marketing campaigns are targeted and relevant. Marketing campaign target is defined with AI/ML-assistance, with continuous learning.",1.1.1.5,Marketing campaigns target is based on AI/ML-assisted and predictive criteria defining the best customer selection for a given campaign.,1.1.1,1.1.1
1.1.2,1.1.2.1,"Product, service, bundle or discount offers are slightly (or not) personalized. They are   manually customizable based on customer profile.",1.1.2.2,"Some aspects of product, service, bundle or discount offers are personalized based on collected customer insights (static customization rules based on customer profile).",1.1.2.3,"Personalized product, service, bundle or discount/offers are available based on customer profile and context (past digital navigations, history and interactions with the organization). Dynamic rules and policy-driven automation is in place.",1.1.2.4,"Personalized product, service, bundle or discount/offers are automatically computed with AI/ML-driven rules applying to customer profile and context insights. Learning from previous campaign adoption is manually integrated when pushing offers to customers. ",1.1.2.5,"Personalized Product, service, bundle or discount. Offers are automatically pushed based on customer profile and context insights (past digital navigations, history and interactions with the organization) and previous campaign success rate.",1.1.2,1.1.2
1.1.3,1.1.3.1,Customer has limited capability to self-customize services and products.,1.1.3.2,"Some self-customization capabilities are available on some services and products. For example, a self-customization portal is limited to a choice among multiple predefined options for services and products.",1.1.3.3,"Self-customization portal is limited to a choice among multiple options, for services and products, dynamically defined based on customer profile.",1.1.3.4,"Customer is guided by AI in the self-customization of services and products, through multiple scenarios based on his preferences.",1.1.3.5,"Self-customization possibilities are automatically proposed by AI based on customer preferences, customer profile and context insights.",1.1.3,1.1.3
1.1.4,1.1.4.1,Some legacy ways of working with negative impacts on the service usability are in place and the organization is committed to change it.,1.1.4.2,"The organization has defined initiatives to enhance usability of service, product, self-service portal or app etc. ",1.1.4.3,"The organization has deployed advanced capabilities to optimize usability of service, product, self-service portal or app etc.",1.1.4.4,Advanced self-service capabilities are offered to ease usability and they are well adopted by customers.,1.1.4.5,Service is made easy to use with AI-enabled features (Zero effort).,1.1.4,1.1.4
1.1.5,1.1.5.1,"Customer feedback is automatically captured on every interaction (care, service use or purchase). It is used to qualify the customer satisfaction for future interactions.",1.1.5.2,Every customer interaction (purchase or service use) is automatically followed up with useful information. This anticipates the customer's need for support and engagement.,1.1.5.3,"Customer behavior is automatically captured and qualified on every interaction path (support, service use or purchase). It is used to guide the customer to the next best offer.",1.1.5.4,Customer sentiment or tone is automatically captured by AI from his recent interaction or conversation (with agent or machine). It is used to adjust the agent or machine behavior in customer handling.,1.1.5.5,"The organization knows what customers love about their product, their indifferences, and what they dislike. This is automatically captured by AI from every customer interaction. It is used to predict what could be the next best experience for the customer.",1.1.5,1.1.5
1.1.6,1.1.6.1,Available digital channels are limited to legacy web portal and the organization is committed to change it.,1.1.6.2,The organization has defined initiatives to enhance digital interactions with main social media being available. ,1.1.6.3,The organization has deployed advanced interactions capabilities from its web portal towards main social media.,1.1.6.4,Some digital channels are AI-driven (e.g. chatbot available from organization web portal and some social media).,1.1.6.5,All digital channels are enabled by autonomous operations (AI/ML assisted automation).,1.1.6,1.1.6
1.1.7,1.1.7.1,Preferred channel for support is agent-assisted care (call center) and the interaction is poorly automated.,1.1.7.2,Self-care is offered as an alternative to call center agent interaction. Session is transferred to an agent if self-service fails.,1.1.7.3,"Self-care is offered as an alternative to call center agent interaction. When session has to be transferred to an agent, full context is automatically passed to resume the interaction where it failed.",1.1.7.4,"Self-care is primary channel for support, offering some capabilities equivalent to the agent-led interaction, enabled by intelligent automation.",1.1.7.5,"Self-care is primary channel for support, offering advanced capabilities enabled by intelligent automation.",1.1.7,1.1.7
1.1.8,1.1.8.1,Loyalty offers are manually defined per customer.,1.1.8.2,Loyalty offers are built upon generic criteria for the full customer base.,1.1.8.3,Loyalty offers are personalized based on specific criteria for one customer segment.,1.1.8.4,Loyalty offers are personalized based on customer persona (with AI/ML-driven definition of the digital personas).,1.1.8.5,Loyalty offers are automatically personalized based on customer persona and preferences (with AI/ML-assisted automation).,1.1.8,1.1.8
1.2.1,1.2.1.1,"Customer experience is modelled to give a qualitative indication of the quality of experience e.g. bad, average, good, excellent - based on customer feedback.",1.2.1.2,Customer experience is modelled to give a quantitative indication of the quality of experience with the delivered service e.g. single index from 1 to 100 - based on a calculated CEI.,1.2.1.3,Customer experience model combines multiple indicators from customer satisfaction survey and QoS insights (e.g. service and network level KPIs).,1.2.1.4,Customer experience model is regularly adjusted to the context of the organization via a calibration activity. e.g. verifying model reality with survey results correlation.,1.2.1.5,Customer experience model is automatically adjusted to the changing context of the organization via a closed loop.,1.2.1,1.2.1
1.2.2,1.2.2.1,CX is being captured on ad hoc basis (for every transaction) based on customer feedback.,1.2.2.2,CX is being captured on a regular basis via a calculated index (CEI).,1.2.2.3,CX is being captured automatically via a calculated index (CEI) which combines customer feedback and QoS insights.,1.2.2.4,CX is automatically adjusted from QoE for any recent interaction with the organization via this single index (CEI) update.,1.2.2.5,CX monitoring via this single index (CEI) trend analysis is helping the organization to continuously improve with proactive engagement.,1.2.2,1.2.2
1.2.3,1.2.3.1,Customer behavior is being tracked and analyzed on ad hoc basis.,1.2.3.2,Customer behavior is regularly tracked and analyzed to understand its expectations,1.2.3.3,Any customer-initiated change is being captured and automatically analyzed in its particular context.,1.2.3.4,Customer behavior cohort is being analyzed by AI/ML to help optimize customer experience and make smarter product bets.,1.2.3.5,Customer behavior monitoring is helping the organization to continuously improve with proactive engagement.,1.2.3,1.2.3
