criteria_id,criteria_scope,criteria_description,sub_dimension_id
1.1.1,Targeted marketing campaigns,"Intelligent automation is leveraging user portrait and any other customer insight (through analytics) in order to define* the target for marketing campaigns (Right-X e.g. right target, channel, offer, moment, customer profile).
*ideally self-generate",1.1
1.1.2,Personalized offers,"Intelligent automation is leveraging customer profile and context insights to offer personalized products, services, bundles or discounts (Right-X).",1.1
1.1.3,Self-customization,"Guided workflow proposes offering customization suggestions based on customer control and choice - e.g. when interrogated on their lifestyle (via self-service portal or app), or their preferences for promotions but also notifications (frequency for promotion push)",1.1
1.1.4,Ease of use,"Usability of: service, product, self-service portal or app etc. Is optimal (Zero-effort).",1.1
1.1.5,Customer delight (enjoy!),Enjoyable for the customer to fulfill their needs /  measured by customer feedback (exceeding expectations) captured  automatically (based on behavior or conversation tone capture in agent/machine interactions).,1.1
1.1.6,Digital interactions / social media,Digital channels enabled by autonomous operations: AI-driven e.g. chatbot,1.1
1.1.7,Self-support,Self-care is preferred option offered for support and it is offering advanced capabilities based on intelligent automation (comparable or exceeding to agent-assisted care),1.1
1.1.8,Loyalty reward,Loyalty offers are being personalized based on customer profile (persona and preferences) based on intelligent automation,1.1
1.2.1,Customer experience modelling,"Intelligent automation of experience modelling (qualitative, quantitative, contextual)",1.2
1.2.2,CX capture,Intelligent automation of CX (QoE) measuring and CX (QoE) monitoring for continuous improvement,1.2
1.2.3,Customer behavior monitoring,"Intelligent automation is capturing, tracking and analyzing customer behavior (e.g. customer usage or customer-initiated changes), and executing closed loop",1.2
1.2.4,Customer onboarding experience,Intelligent automation of the customer onboarding experience (e.g. simplified ordering and activation),1.2
1.2.5,Omnichannel,Made easy for the customer to start from one and seamlessly resume from any channel,1.2
1.2.6,Customer Journey optimization ,Automated optimization based on measured CX / QoE (user-level experience-driven optimization),1.2
1.3.1,Customer portrait,User portrait modelling (advanced customer profiling) is available for customer operations - beyond customer segmentation,1.3
1.3.2,Customer value,"Customer value determined through customer scoring (combining multiple inputs such as: credit worthiness, lifetime value etc.) is available to be used in customer operations ",1.3
1.3.3,Customer journey,Every touchpoint of the customer journey is providing customer insights useful for customer operations ,1.3
1.3.4,Single customer view,"Automated collection of customer insights (account status, service heath checks, equipment or network status, order status etc.) is available to customer operations e.g. as a single pane of glass",1.3
1.3.5,Voice of the customer,"Customer feedback e.g. complaint and sentiment are automatically collected, analyzed and made available for processing in customer operations",1.3
1.3.6,Customer intent,Customer intent is captured and predicted in support of decision for the Next Best Action in customer operations,1.3
1.4.1,Preemptive care,"Intelligent automation enables simplified assisted care, as well as personalized care to build customer trust when they are searching for support.
It enables evolution towards preventive, preemptive and predictive care (Zero Wait, Zero Effort, Zero Touch) where customers may be notified of QoS degradation or potentially impacting issues.",1.4
1.4.2,SLA commitment ,"The commitment to agreed service levels in line with metrics or KPIs (e.g. minimum speed, full coverage or superior bandwidth, care response time) is met.
This information is transparently shared with the customer.",1.4
1.4.3,Privacy and ethics,Automated monitoring and control of privacy and ethical use of customer data is ensured by the organization.,1.4
1.5.1,B2B2X partner onboarding,Autonomous operations are enabling a seamless onboarding of a new B2B2X partner.,1.5
1.5.2,B2B2X partner fulfillment,Autonomous operations are providing experience to new B2B2X partners.,1.5
1.5.3,B2B2X partner support,Autonomous operations are providing intent-based care to existing B2B2X partners.,1.5
1.5.4,B2B2X partner satisfaction,Autonomous operations enable collecting feedback and ensuring SLA compliancy for existing B2B2X partners,1.5
1.5.5,B2B2X partner value,Autonomous operations are providing insights and value management capabilities to B2B2X partner (e.g. revenue sharing from service monetization) ,1.5
1.6.1,Security & Compliance,"Autonomous Operations reduce the need for employees to perform hazardous tasks, as these can be automated or assisted by technology. This leads to a safer workplace and potentially lower rates of work-related injuries.
Compliance to security rules include adherence to data handling and privacy best practices and it is being monitored autonomously.",1.6
1.6.2,Skills proficiency & Training,"As routine tasks get automated, the organization gives employees the opportunity to learn new skills and advance their careers (inc. training in advanced technologies, data analysis, system management, and other areas that are increasingly important in a digitized workplace).",1.6
1.6.3,Job satisfaction & engagement,"Intelligent automation can relieve employees from monotonous, repetitive tasks, allowing them to focus on more challenging and rewarding aspects of their job. This can lead to higher job satisfaction and motivation.
 Sense of Fulfillment (augmented by intelligent agent)",1.6
1.6.4,Efficiency & productivity (augmented by intelligent agent),"Efficiency gains and productivity improvements are measured with the ratio of routine tasks automated. Key operational metrics are improved, such as issue resolution times and network uptime. Improvements in employee productivity and the ability to focus on higher-value tasks are measured.",1.6
1.6.5,Change management & adaptability,"With improved efficiency and productivity, there can be a need to adapt jobs and roles to new operating model with AO.
Introduction of AO creates new roles and career paths within an organization. Employees have the chance to move into these emerging areas, which can be both professionally and personally rewarding.",1.6
1.6.6,Adoption & utilization,"The extent to which employees are implementing and using intelligent automation in their daily tasks. Introduction of AO enables staff empowerment (augmented by intelligent agent).

Access to advanced tools and data empowers employees to make more informed decisions and contribute more effectively to the organization's goals.",1.6
1.6.7,Innovation contributions,"Introduction of AO creates greater involvement in innovation applying to the organization. Employees can play a more active role in innovation and continuous improvement initiatives within the organization, as they are more likely to identify opportunities for improvements and efficiency gains.
(to be moved to Culture as it is staff - if including measurement of innovation contribution is there at organization level?)",1.6
1.6.8,Collaboration and Communication,"AO facilitates robust feedback integration from the employee towards intelligent agent - with more effective communication tools and collaboration platforms among teams, departments, and even with external partners, leading to a more integrated and dynamic work environment. Feedback integration (capturing intent of employee in a continuous and structured way could be intelligently automated)",1.6
1.7.1,Onboarding ,"self-installation / self-configuration: machine-to-machine (no human intervention), including self-training",1.7
1.7.2,Healing,"Smart Things enable predictive maintenance by continuously monitoring the condition of equipment. Sensors can predict failures before they occur, allowing for timely maintenance, thereby reducing downtime and extending the life of equipment.",1.7
1.7.3,Dynamic adaptation,operational efficiency augmented by intelligent agent: via machine-to-machine dynamic adaptation (no human intervention),1.7
1.7.4,Communication and learning ,augmented by intelligent agent: autonomous  machine-to-machine communication and learning (no human intervention),1.7
1.7.5,Safety,"augmented by intelligent agent: machine-to-machine, machine-to-human: interact safely with the environment, humans and other things",1.7
2.1.1,Strategy to Value  Alignment,"Strategy to Value Alignment ensures that the AO strategy gets solidified into clear, measurable operational objectives linked to strategic goals.
The organization ensures an effective AO strategy to value alignment, linking objectives to realization, which encompasses a clear vision and helps ensure resources are used effectively with regard to autonomous operations",2.1
2.1.2,AO Initiatives Definition,"AO initiatives definition captures all the elements from (Value Proposition, Value Stream, and Value Stage as per the Value Operations Framework); this criterion aligns well to agreed and established concepts and practices modeled as value chains; it is no longer a design but a specific intention, which may be realized as a business case. AO initiatives refer to AO-related initiatives or internal campaigns undertaken by the organization leadership in advancement of the Strategic Plan, through which the organization sets out to achieve certain goals or visions, e.g., like solving specific issues within the work environment, improving policy or business strategies, etc.

The organization ensures an optimal definition of its AO initiatives, as it pursues best alignment with agreed and established concepts and practices modeled as value chains.",2.1
2.1.3,Value Modeling & Design,"Value Modeling & Design is a process whose purpose is to proactively visualize, assess and quantify the benefits and value from operations optimization initiatives by leveraging standard business and finance calculation and assessment methodologies, such as Cost-Benefits-Analysis (CBA), Return of Investment (ROI), and Total Cost of Ownership (TCO) and combines it with the Value Tree Analysis and the Value Stream Concept into an executable Value Realization Plan.

The organization is able to proactively visualize, assess and quantify the benefits and value of operations optimization initiatives, by applying various methods, such as CBA, ROI, TCO, Value Tree Analysis, etc.",2.1
2.1.4,Business Case,"A business case exists to provide the justification for undertaking one or more AO initiatives. The business case includes AO initiative(s) benefit, cost and risk of alternative options, and it provides a rationale for the preferred solution.

The organization has developed and relies on a business case to drive all AO related initiatives.",2.1
2.1.5,Value Realization/AO Deployment,"Value Realization in the context of Autonomous Operation is achieved by the implementation of AO initiatives and the ongoing operation of the AO enabled operations environment.

The organization is achieving its target value realization through an AO enabled operations environment.",2.1
2.1.6,Continuous Value Improvement,"Continous Value improvement is a process whose purpose is to evaluate performance of AO strategies in meeting economic, operational and sustainability goals, along with defined levels of business and risks tolerance, it is used to assess strategic choices, ensure and improve business value, ensure AO costs and budgets are aligned to business priorities, improve AO capabilities to support AO-related business activities, whether AO Risk is cost-effectively managed and whether AO performance is measured.

The organization has put in place and leverages a continuous value  improvement process to ensure optimal performance of its AO strategies.",2.1
2.2.1,Business Architecture Vision,"The purpose of the Business Architecture Vision is to provide key stakeholders and involved parties with a formally agreed outcome, to focus efforts and allocate resources necessary to validate and embark on the pursuit of the agreed AO business vision. A Business Architecture Vision also facilitates communication with all stakeholders and involved parties.

The organization has developed and relies on a Business Architecture Vision for AO initiatives to guide requirements and specifications for all architecture projects linked to AO strategic objectives.",2.2
2.2.2,Transformation Roadmap,"A Transformation Roadmap is a strategic blueprint which specifies the individual projects and work packages that are needed to achieve the business-wide objectives of the AO program.

The organization has developed and relies on a Transformation Roadmap to lay out and manage on a time scale any work packages associated with AO initiatives and their business value, including any transitional states to effectively deliver the target AO architecture. ",2.2
2.2.3,Operating Model,"The organization has an AO Operating Model that describes how operations are to be conducted in an efficient way, to deliver the intended value proposition to both, customers and the business itself. It does so through rational and equitable deployment of resources and capabilities following its vision and business model.

The organization has a well-established AO operating model, with clear roles, responsibilities to enable agile design and deployment of AO use cases with a feedback loop that drives the business strategy.",2.2
2.2.4,Stakeholder Management,"A stakeholder is any individual, group or organization that can affect, be affected by, or perceive itself to be affected by a programme.

The organization makes extensive use of Stakeholder Management techniques as a critical success factor to achieve successful delivery of any project, programme or activity that contributes to AO. ",2.2
2.3.1,Investment Plan,"Documented investment strategy which includes the investment objectives that meets the set financial goals of the organization with regard to the AO program.

The organization has developed and agreed on an Investment Plan to ensure a rational deployment of financial resources in support of all of its AO initiatives.",2.3
2.3.2,AO Funding,"The organisation has developed and maintained a formal structure and a process for funding AO  innovation from ideation through implementation with all concerned parties across multiple departments.

The organization has secured financial resources through one or more sources for the purpose of funding all of its AO initiatives.",2.3
2.3.3,Investments Evaluation,"Investment Evaluation ensures an effective assessment of various investment factors, such as ROI, risk, liquidity, tax benefits, and convenience; these are all critical attributes that need to be taken into account before investing in any projects, initiatives or resources related to AO.

The organization applies one or more methods to assess critical factors such as ROI, risk, liquidity, tax benefits and convenience, to ensure AO related investments are aligned with agreed goals and business performance levels.",2.3
2.4.1,AO Performance Measurement,"Autonomous Operations Performance Measurement is a systematic methodology to guarantee the expected quality of (autonomous) operations end-to-end, and that the service delivery systems operate in a safe and efficient way according to design values and conditions and meet the operational requirements.

The organization has a dedicated autonomous operations Performance Measurement methododolgy in place to ensure that the service delivery systems meet contractual performance requirements.",2.4
2.4.2,AO Program Governance,"AO Program governance establishes systems and methods by which a program's strategy is defined, authorized, and monitored. Program governance boards are established to represent the organization's interest in the program.

AO Program Governance is well represented as part of the broader Corporate Governance, it is headed by executives and representatives of the AO function.",2.4
2.4.3,Operational Continuity,"Operational continuity refers to the ability of a system or operational systems to continue working despite damages, losses or critical events. It implies the need to determine the level of resilience of the system, its ability to recover after an event, and ensure that operational systems resist to external and internal events or are able to recover after an event without losing its external performance management capability. 

The organization has developed, controls and ensures continuous  (autonomous) operations in the event of external or internal disrupting events occurring.",2.4
2.4.4,Regulatory Compliance,"Regulatory compliance is a set of rules organisations must follow to protect sensitive information and human safety. Any business that has implemented AO and works with digital assets, consumer data, health regulations, employee safety, and private communications is subject to regulatory compliance. The organization has a regulations compliance strategy in place as part of its Governance Framework as it applies to AO.",2.4
2.4.5,Security & Risk Management,"Security & Risk management identifies, evaluates and prioritizes risks as the effect of uncertainty on strategic and operational objectives, followed by a coordinated orchestration of resources to minimize, monitor, and control the probability or impact of unfortunate events. It also provides the principles, policies, and guidelines that drive and supervise AOs' development and deployment, addressing potential risks and security concerns.

The organization makes use of best practices and standard processes to manage and mitigate risks and ensure security concerns are addressed through effective policies and principles.",2.4
2.4.6,Best Practices,"Best Practices is not a capability by itself, but instead, in the context of AO, the ability to leverage and apply best practices is considered a ""Strategic"" plus or capability. 

The organization actively investigates and encourages the adoption of best practices for AO.",2.4
2.5.1,Sustainable Value Generation,"Sustainable Value Generation applies various use cases that consider the interests of all stakeholders (such as customers, employees, investors, suppliers and communities) by integrating three aspects - environmental, social, and economic - into a business mindset which considers environmental impacts in its operations and its products. Moreover, it recognises the existence of many capitals (e.g., natural, social and economic) and focuses on long-term growth rather than short-term gains.

The organization is generating sustainable value through AO by going beyond regulatory compliance and energy conservation. It differentiates its products by making them more accessible and focusing on the development of new products that address environmental and social problems.",2.5
2.5.2,Sustainable Investments,"Sustainable investing is the practice of analyzing a company’s environmental, social and governance (ESG) risks, as well as assessing its opportunities and progress, using ESG data and leveraging AO insights, to inform the allocation of capital.

The organization assesses current and potential impacts and opportunities of AO with regard to sustainable development, and adapts its investing policies and allocation of financial resources accordingly.",2.5
2.5.3,Sustainability Awareness,"Promotion and incorporation of ecological and social awareness across the organization, with the aim of achieving sustainable AO-driven operations.

The organization promotes and incorporates current and potential opportunities for AO with regard to sustainable development, and adapts its actions, policies  and resources accordingly.",2.5
3.1.1,Autonomous Intelligence,"The ability of a system to take decisions without the need of human intervention.

Self-learning agents are used to take the decisions.

Systems are capable of analyzing vast amounts of data quickly and accurately.

Systems' cognitive ability matures from understanding 'what is happening', 'what to do'. 'how to solve a problem', 'why perform an action', to 'self evolution and adaptability to change'.",3.1
3.1.2,Machine Learning (ML),"As a criterion, it evaluates:

how model training is taking place (mode, versioning, etc.)
the security approach selected",3.1
3.1.3,Closed Loop Automation (CLA),CLA technologies enable translation of goals into a set feed-forward and feed-back interactions that target reducing dependence on human intervention.,3.1
3.1.4,Intent Management,Intent Management evaluates how technologies are implemented to understand and respond to user intents (requirements and implied goals).,3.1
3.1.5,Zero-Touch Integration,"Zero-touch integration evaluates how information flows across AO value streams, including systems, functions and processes, without the need of human intervention.",3.1
3.1.6,Simulation Management,"Simulation Management technologies enable the modelling of processes, resources, or environment to predict outcomes, optimize performance and support decision making (e.g., utilizing Digital Twin).",3.1
3.2.1,Solution Architecture,Solution Architecture covers the functional specifications and the definition of the application architecture whose capabilities support the specified functional requirements and expected behavior of the AO solution.,3.2
3.2.2,Integration Architecture,"Integration Architecture refers to the architecture of information flow across systems.

It is evaluated the degree of open and standardized technology used with regard to Integration Architecture.

For example, integration to Partners' or Customers' platforms and systems for the creation and delivery of Services, e.g. a network platform where multiple network providers are cooperating.

It serves AO initiatives' integration requirements and constraints, internal and external interfaces, and open APIs.",3.2
3.2.3,Infrastructure Architecture (technology infrastructure),"It evaluates how the architecture for all AO relevant environments (Development, ML Training, Testing, Production, Maintenance, etc) is well defined.

Based on AO initiative objectives and targets as well general project requirements (security, compliance, etc.), risks and contraints, it is included:

scalability needs (CPU/GPU resources) of the underpinning applications, infrastructure components, ML training environment
correlation between performance and capacity metrics for the in-scope components
cloud strategy (private, public, hybrid)
connectivity needs",3.2
3.2.4,Security Architecture,"It is evaluated how well redundancy, business continuity and design for failure (DDF) architectural requirements are defined.

Logical Architecture (logical control flow)
Physical Architecture (physical elements)
Component Architecture (products/applications and the respective delivery team which implements this architecture)",3.2
3.3.1,People,"The right people are employed to fulfill the roles required (Project Manager, Business/Solution Architects, AI Engineers, SW Engineers, Data Scientists, Data Engineers, Domain SMEs, etc.) for the development and implementation of AO.

There is effective human-machine collaboration which is assessed according to:

Analysis
Awareness
Decision
Execution
Experience (Intent)

e.g., (Gen)AI-agent assistance.",3.3
3.3.2,Applications & Platforms,"It is evaluated the extend to which the platforms and tools used by the organization, efficiently address AO Technology requirements, during project's lifetime (conceptualization, design, testing, deployment, production), e.g. they are automated, or used in a company-wise formalised manner.

Such Applications & Platforms include:
Operational Canvas
IDE (Integrated Development Environment)
AI/ML frameworks, libraries, programming languages, orchestration tools to meet the development needs of algorithm engineering
AI Development Tools for automatic design model, automatic parameter adjustment, automatic training, and automatic deployment of the model application, classification/regression
ML Platforms for models creation/training/optimization

APIs that can be called externally to meet the needs of third-party applications and development integration

Third-party mature algorithm models
Self-management tools (self-checking/self-repairing, version management, etc.)
Data Platforms for data exploration, visual mining modelling, etc.
Data Management Tools for data acquisition, storage, processing, and sharing
System Management Tools (monitoring/statistics)
Knowledge/Models Repository",3.3
