capability_id,question_id
1.11.1,1.1.1
1.11.10,1.4.2
1.11.2,1.1.2
1.11.3,1.2.3
1.11.4,1.3.1
1.11.5,1.3.2
1.11.6,1.3.4
1.11.7,1.3.5
1.11.8,1.3.6
1.11.9,1.4.1
1.12.1,1.1.3
1.12.2,1.2.4
1.12.3,1.4.1
1.13.1,1.1.6
1.13.2,1.1.6
1.13.3,1.3.2
1.14.1,1.1.7
1.14.2,1.1.7
1.14.3,1.3.3
1.15.1,1.1.8
1.15.2,1.1.8
1.16.1,1.2.1
1.16.2,1.2.2
1.17.1,1.4.2
1.21.1,1.1.2
1.21.2,1.1.3
1.21.3,1.2.5
1.21.4,1.3.1
1.21.5,1.3.3
1.21.6,1.4.3
1.31.1,1.1.5
1.32.1,1.1.5
1.33.1,1.2.1
1.33.2,1.2.3
1.33.3,1.3.1
1.33.4,1.3.2
1.33.5,1.3.3
1.33.6,1.3.5
1.41.1,1.1.4
1.42.1,1.1.4
1.42.2,1.3.6
1.43.1,1.1.4
1.51.1,1.5.1
1.51.2,1.5.2
1.51.3,1.5.3
1.52.1,1.5.4
1.52.2,1.5.5
1.61.1,1.6.1
1.61.2,1.6.2
1.61.3,1.6.3
1.61.4,1.6.8
1.62.1,1.6.4
1.62.2,1.6.5
1.62.3,1.6.6
1.62.4,1.6.7
1.71.1,1.7.1
1.72.1,1.7.2
1.72.2,1.7.3
1.73.1,1.7.4
1.73.2,1.7.5
2.1.2,3.4.4
2.1.1,3.4.4
2.1.4,3.4.4
2.1.5,3.4.4
2.2.1,3.4.4
2.2.2,3.4.4
2.3.1,3.4.4
2.3.2,6.1.2
2.3.3,3.4.4
2.3.4,3.4.4
2.3.5,4.6.3
2.4.1,3.1.1
2.4.2,3.1.2
2.4.3,3.1.2
2.4.4,3.1.2
3.1.1,6.2.4
3.1.2,6.2.5
3.2.1,3.1.5
3.2.2,3.1.6
3.2.3,3.1.6
3.3.1,3.4.3
3.3.2,3.4.3
3.3.3,3.4.3
3.3.4,3.4.3
3.3.5,3.4.3
3.4.1,3.4.1
3.4.2,3.4.1
3.4.3,3.4.2
3.5.1,4.1.1
3.6.1,4.6.4
3.6.2,4.6.4
3.7.1,4.6.2
3.7.2,4.6.4
3.8.1,4.6.2
3.8.2,4.6.3
3.8.3,4.6.2
3.9.1,4.6.4
3.9.2,4.6.4
3.9.3,4.6.4
4.1.1,3.4.1
4.1.2,3.4.1
4.1.3,3.4.2
4.1.4,3.4.2
4.1.5,3.4.2
4.1.6,3.4.2
4.2.1,3.3.3
4.2.2,1.4.2
4.3.1,3.4.4
4.3.2,3.4.4
4.3.3,3.4.4
4.3.4,3.4.4
4.3.5,3.4.4
4.4.1,3.4.3
4.4.2,3.4.3
4.4.3,3.4.3
4.5.1,4.1.1
4.5.2,4.1.1
4.6.1,4.1.2
4.6.2,4.1.3
4.7.1,4.4.1
4.7.2,4.4.2
4.7.3,4.4.3
4.7.4,4.4.1
4.7.5,4.4.1
5.1.1,3.1.1
5.1.10,3.1.4
5.1.11,3.1.2
5.1.12,3.1.2
5.1.2,3.1.2
5.1.3,3.1.3
5.1.4,3.1.2
5.1.5,3.1.3
5.1.6,3.1.2
5.1.7,3.1.2
5.1.8,3.1.3
5.1.9,3.1.2
5.11.1,3.1.3
5.11.2,3.1.3
5.12.1,3.1.2
5.12.2,3.1.5
5.13.1,3.1.5
5.13.2,3.1.5
5.14.1,3.1.5
5.15.1,3.1.5
5.16.1,3.1.5
5.16.2,3.1.5
5.17.1,3.1.5
5.17.2,3.1.2
5.17.3,3.1.2
5.17.5,3.1.2
5.17.6,3.1.2
5.17.7,3.1.2
5.17.8,3.1.2
5.17.9,3.1.3
5.2.1,3.2.2
5.2.2,3.2.2
5.2.3,3.2.1
5.2.4,3.2.1
5.2.5,3.1.2
5.2.6,3.1.2
5.2.7,3.2.1
5.2.8,3.1.5
5.3.1,3.1.5
