sub_dimension_id,sub_dimension_name,sub_dimension_definition,sub_dimension_context,dimension
1.1,Customer Engagement,The extent to which the organisation is using intelligent automation to consistently engage with customers with the best approach for customer's interest.,"The organization delivers a Zero-effort engagement to its (human) customers

i.e. for the external customers (note that Zero-X for internal / users will be addressed as part of Customer Operations in the Operations dimension)

How intelligent automation is enabling the best approach for customer's interest i.e.:

offering the most tailored service: based on their profile or their individual preferences
making it easy for customer to subscribe, consume and get support on services
rewarding their loyalty
and always anticipating their expectations
with Zero-Effort from customer side.",Party
1.2,Customer Experience,the extent to which the organization is using intelligent automation to consistently realize positive CX across all touchpoints and channels.,"An internal organization and governance system is in place to deliver in an autonomous way an optimal customer experience.

The following are key enabling capabilities:

- customer feedback (Voice of Customer = VoC) being used to improve interactions
- customer satisfaction being automatically captured, measured and considered in all interactions (as an extension/proxy to the NPS score)
- customer journeys being automatically optimized
- customer complaints being handled effectively and efficiently
- targeting Zero-Effort from customer side.

Proactive Customer Engagement: Instead of only reacting to customer feedback or complaints, organizations can take a proactive approach by engaging with customers regularly.",Party
1.3,Customer Insight,the extent to which the organization uses intelligent automation to collect and analyze relevant insights from customers throughout their journey to better understand their needs and translate them into intent that are met by autonomous closed loop solutions.,The organization makes effective use of data to generate customer insights in an autonomous way.,Party
1.4,Customer Trust,"the extent to which the organization builds and maintains trust with customers by ensuring the quality, security, privacy and integrity of intelligent automation.","The delivered experience aligns with the brand promise of Zero-X experience to the Customer.

It also implies that organization creates and delivers clearly communicated and measured value to its customers through autonomous solutions with focus on customer benefits and business outcomes.",Party
1.5,B2B2X Partner Engagement,The extend to which the organization engages with B2B2X partners leveraging  autonomous capabilities for the benefit of the end-customer.,"The B2B2X delivery model integrates partner ecosystem management* capabilities that contribute to Zero-X experience for  business partners. 

*see Strategy dimension

NB: Suppliers are not considered in this sub-dimension (when they provide inputs or resources only, without being recipient of the service value).

Focus would be on B2B2X strategies for operators serving enterprise customers.",Party
1.6,Employee Engagement,the extend to which the organization engages with employees leveraging  autonomous capabilities for the benefit of all parties involved.,"The organization delivers an improved experience to its employees, augmented by intelligent agent capabilities

How intelligent automation is enabling the best approach for employee's interest, for the ultimate benefit of the organization and its customers",Party
1.7,Engagement of Smart Things,"Smart Things (IoT, AuT) open up opportunities for developing new services and business models, for the benefit of the service provider and end-customer.
this dimension explores interaction of Smart Things in the ecosystem.
Smart Things (IoT, AuT) contribute to AO efficiency by optimizing resource use, automating routine tasks, and reducing downtime.
Smart or Cognitive things perform tasks that require human-like. cognition: learning from interactions, making decisions based on data, and adapting to new information without human intervention.","Smart Things (IoT, AuT) contribute to the organization's AO efficiency by optimizing resource use, automating routine tasks, and reducing downtime.

Autonomous things (AuT) include: robotics, vehicles, drones, smart devices etc.

IoT can help in ensuring safety and compliance with regulations. For example, in industries like manufacturing or energy, sensors can monitor environmental conditions and ensure compliance with health and safety regulations.",Party
2.1,Value Model,"A value model is a framework that describes the organization's intended value propositions and benefits generated through the exposure of its products and services to the market.

It articulates the understanding of the organization's value proposition of its products and services, both current and planned.","The organization has a value model that helps identify and measure the factors that contribute to the value of its products and services from the perspective of the customer or user targeted by specific AO initiatives.

It assumes that one would have identified clearly the AO investment and associated benefits, to the organization, and the related value fabric/chain/stream which is involved to contextualize the value model for AOMM.  ",Strategy
2.2,Business Architecture,"Business Architecture is the enterprise blueprint of its business capabilities, end-to-end value delivery, information and organizational structure as well as relationship among business views, strategies, products and initiatives, and stakeholders. (This maps to MAMA value realization module).

The organization has a Business Architecture in place, which provides the necessary integration between its strategy, business model, and the business functionality of the enterprise.","The organization has defined and manages its Business Architecture as a means to ensure and measure the business value generated by the organization's operations and their return on investment.

Knowledge of the Business Architecture is a prerequisite for all architecture work in any other domains e.g. Data, Application, Technology, Security, Integration, etc and is therefore a strategic element for AO; it is the first architecture activity that needs to be undertaken.

In practical terms, Business Architecture often provides a means of demonstrating the business value of any architecture work to key stakeholders, and the return on investment to those stakeholders from supporting and participating in the subsequent work.",Strategy
2.3,Financial Management,Defines the AO budget and optimizes the financial / investment management for AO to ensure the organization achieves maximum value from allocated financial resources.,"The organization has a strong financial management capability in place, which enables effective decision-making, investment funding, liquidity, profitability, cash runway, etc.

Financial management is the practice concerned with the making of a business plan and managing factors such as: profitability, expenses, cashflow, credit, financial assets, etc., for the ultimate purpose of maximizing value to stockholders. Solid financial management enables the organization to ensure a long-range vision, through effective decision-making, investment funding, liquidity, profitability, cash runway, etc. It represents a fundamental capability for the successful implementation and operating of AO.
",Strategy
2.4,Governance Framework,The organization has an effective AO Governance Framework in place,"The organization has a Governance Framework in place which is foundational to ensure and manage technology, data, AI and other key capabilities which are key enablers of Autonomous Operations.

For the deployment and management of AO, an organization needs to have a Governance Framework in place. With technology, data, AI and other key capabilities being enablers in AO, ensuring solid governance and compliance is a must. A well-articulated governing body within the organization that has clear demarcation of accountability and ownership for activities is paramount. An effective governance framework must ensure direction and control and the management of key processes such as security, risk management,  compliance, etc., while fulfilling the requirements associated with the characteristics of governance (Discipline, Transparency, Independence, Accountability, Responsibility, Fairness). Autonomous Operations will come with their own set of challenges; for instance, AI adoption amongst other innovative technologies.",Strategy
